PartitionKey,RowKey,Timestamp,ChainId,ChainName,Kardex,StoreId,StoreName,Address,City,Zipcode,Active,Phone,CvrNumber,ValidFrom,MondayFrom,MondayTo,TuesdayFrom,TuesdayTo,WednesdayFrom,WednesdayTo,ThursdayFrom,ThursdayTo,FridayFrom,FridayTo,SaturdayFrom,SaturdayTo,SundayFrom,SundayTo
111,20000101,2017-08-11T12:24:01.121Z,7,Irma,23148,111,Irma Birkerød,Hovedgaden 42,BIRKERØD,3460,true,45814356,26259495,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,18:00,08:00,18:00
111,20180301,2018-03-01T08:23:39.416Z,7,Irma,23148,111,Irma Birkerød,Hovedgaden 42,BIRKERØD,3460,true,45814356,26259495,2018-03-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,21:00,08:00,21:00,08:00,18:00,08:00,18:00
111,20180507,2018-05-07T09:23:36.411Z,7,Irma,23148,111,Irma Birkerød,Hovedgaden 42,BIRKERØD,3460,true,45814356,26259495,2018-05-07T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,18:00,08:00,18:00
1111,20000101,2017-08-11T12:23:59.238Z,21,Coop.dk,9909,1111,coop.dk,Hestehaven 51,ODENSE S,5260,false,0,26259495,2000-01-01T00:00:00.000Z,00:30,24:00,00:30,24:00,00:30,24:00,00:30,24:00,00:30,24:00,00:30,24:00,00:30,24:00
1111,20170818,2017-08-17T14:23:35.121Z,21,Coop.dk,9909,1111,coop.dk,Hestehaven 51,ODENSE S,5260,true,0,26259495,2017-08-18T00:00:00.000Z,00:30,24:00,00:30,24:00,00:30,24:00,00:30,24:00,00:30,24:00,00:30,24:00,00:30,24:00
1112,20000101,2017-08-11T12:23:57.186Z,1,COOP MAD,9920,1112,Coop.dk MAD,Jydekrogen 4,VALLENSBÆK,2625,false,0,26259495,2000-01-01T00:00:00.000Z,00:30,24:00,00:30,24:00,00:30,24:00,00:30,24:00,00:30,24:00,00:30,24:00,00:30,24:00
1112,20170815,2017-08-14T12:23:38.212Z,1,COOP MAD,9920,1112,Coop.dk MAD,Jydekrogen 4,VALLENSBÆK,2625,true,0,26259495,2017-08-15T00:00:00.000Z,00:30,24:00,00:30,24:00,00:30,24:00,00:30,24:00,00:30,24:00,00:30,24:00,00:30,24:00
112,20000101,2018-11-06T23:23:41.835Z,3,SuperBrugsen,4091,112,SuperBrugsen Fensmark,Næstvedvej 2,HOLMEGAARD,4684,false,55546010,10708915,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,18:00,09:00,18:00
112,20181126,2018-11-26T07:23:37.144Z,3,SuperBrugsen,4091,112,SuperBrugsen Fensmark,Næstvedvej 2,HOLMEGAARD,4684,true,55546010,10708915,2018-11-26T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,18:00,09:00,18:00
113,20000101,2017-08-11T12:23:39.444Z,3,SuperBrugsen,8039,113,SuperBrugsen Blistrup,Peter Hildes Vej 2,GRÆSTED,3230,true,48715007,59472410,2000-01-01T00:00:00.000Z,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,08:00,21:00
